[13B-REW 5.08][DL-340XB][AEM 30-0334 X Series]
Time(s)	RPM	PIM	PIM V	TPS V	InjFrPr	Inj +/-	IGL	IGT	FuelT	Oil	PC%	WG%	WtrT	AirT	Knock	BatV	Speed	???(2)	O2S	???	InjFrSc	AN1-AN2 Wide Band O2	AN2 raw	
0	0	9749	2.602	.825	8.179	297	9	5	175	51	1	1	85	51	0	12.2	0	1000	1.88	76	0	11.78	0.000	
.05	0	9749	2.602	.825	8.179	297	9	5	175	51	1	1	85	51	0	12.2	0	1000	1.85	76	0	11.71	0.000	
.1	0	9749	2.602	.825	8.179	297	9	5	175	51	1	1	85	51	0	12.2	0	1000	1.87	76	0	11.75	0.000	
.15	0	9749	2.602	.825	8.179	297	9	5	175	51	1	1	85	51	0	12.2	0	1000	1.86	76	0	11.73	0.000	
.199	0	9749	2.602	.825	8.179	297	9	5	175	51	1	1	85	51	0	12.2	0	1000	1.86	76	0	11.73	0.000	
.247	0	9749	2.602	.825	8.179	297	9	5	175	51	1	1	85	51	0	12.2	0	1000	1.88	76	0	11.78	0.000	
.298	0	9749	2.602	.825	8.179	297	9	5	175	51	1	1	85	51	0	12.2	0	1000	1.85	76	0	11.71	0.000	
.348	0	9749	2.602	.825	8.179	297	9	5	175	51	1	1	85	51	0	12.2	0	1000	1.86	76	0	11.73	0.000	
.4	0	9749	2.602	.825	8.179	297	9	5	175	51	1	1	85	51	0	12.2	0	1000	1.86	76	0	11.73	0.000	
.452	0	9749	2.602	.825	8.179	297	9	5	175	51	1	1	85	51	0	12.2	0	1000	1.87	76	0	11.75	0.000	
.498	0	9749	2.602	.825	8.179	297	9	5	175	51	1	1	85	51	0	12.2	0	1000	1.86	76	0	11.73	0.000	
.548	0	9773	2.607	.825	8.179	297	9	5	175	51	1	1	85	51	0	12.2	0	1000	1.88	76	0	11.78	0.000	
.6	0	9749	2.602	.825	8.179	297	9	5	175	51	1	1	85	51	0	12.2	0	1000	1.85	76	0	11.71	0.000	
.649	0	9749	2.602	.825	8.179	297	9	5	175	51	1	1	85	51	0	12.2	0	1000	1.85	76	0	11.71	0.000	
.7	0	9749	2.602	.825	8.179	297	9	5	175	51	1	1	85	51	0	12.2	0	1000	1.88	76	0	11.78	0.000	
