[13B-REW 5.08][DL-340XB][AEM 30-0334 X Series]
Time(s)	Clock    	Switches        	RPM	PIM	PIM V	TPS V	InjFrPr	Inj +/-	IGL	IGT	FuelT	Oil	PC%	WG%	WtrT	AirT	Knock	BatV	Speed	???(2)	O2S	???	InjFrSc	AN1-AN2 Wide Band O2	AN2 raw	
0	18:26:49.576	0000100000101011	2200	5669	1.826	.488	3.73	257	27	27	175	14	1	1	95	48	2	13.7	0	236	2.021	76	0	12.11	0.000	
.041	18:26:49.617	0000100000101011	2129	5637	1.821	.488	3.667	257	27	27	175	14	1	1	95	48	0	13.7	0	234	2.051	76	0	12.18	0.000	
.09	18:26:49.666	0000100000101011	2118	5757	1.845	.488	3.699	257	27	27	175	14	1	1	95	48	0	13.7	0	233	2.001	76	0	12.06	0.000	
.139	18:26:49.715	0000100000101011	2205	5789	1.846	.488	3.8	257	27	27	175	14	1	1	95	48	2	13.7	0	236	2.147	76	0	12.41	0.000	
.188	18:26:49.764	0000100000101011	2201	5669	1.821	.488	3.769	257	27	27	175	14	1	1	95	48	0	13.7	0	238	2.187	76	0	12.51	0.000	
.241	18:26:49.817	0000100000101011	2138	5661	1.83	.488	3.644	257	27	27	175	14	1	1	95	48	0	13.7	0	234	2.021	76	0	12.11	0.000	
.289	18:26:49.865	0000100000101011	2168	5765	1.847	.488	3.722	257	27	27	175	14	1	1	95	48	0	13.7	0	236	1.95	76	0	11.94	0.000	
.34	18:26:49.916	0000100000101011	2185	5685	1.825	.488	3.714	257	27	27	175	14	1	1	95	48	0	13.7	0	236	2.076	76	0	12.24	0.000	
.39	18:26:49.966	0000100000101011	2132	5661	1.827	.488	3.66	257	27	27	175	14	1	1	95	48	1	13.7	0	234	2.051	76	0	12.18	0.000	
.443	18:26:50.019	0000100000101011	2113	5749	1.85	.488	3.675	257	27	27	175	14	1	1	95	48	0	13.7	0	233	2.011	76	0	12.09	0.000	
.489	18:26:50.065	0000100000101011	2199	5757	1.841	.488	3.792	257	27	27	175	14	1	1	95	48	3	13.7	0	236	2.147	76	0	12.41	0.000	
.541	18:26:50.117	0000100000101011	2149	5613	1.821	.488	3.722	257	27	27	175	14	1	1	95	48	0	13.7	0	236	2.147	76	0	12.41	0.000	
.589	18:26:50.165	0000100000101011	2118	5709	1.84	.488	3.667	257	27	27	175	14	1	1	95	48	0	13.7	0	233	2.011	76	0	12.09	0.000	
.64	18:26:50.216	0000100000101011	2184	5789	1.848	.488	3.792	257	27	27	175	14	1	1	95	48	2	13.7	0	236	2.001	76	0	12.06	0.000	
.69	18:26:50.266	0000100000101011	2157	5685	1.829	.488	3.746	257	27	27	175	14	1	1	95	48	0	13.7	0	236	2.107	76	0	12.32	0.000	
.74	18:26:50.316	0000100000101011	2107	5709	1.839	.488	3.652	257	27	27	175	14	1	1	95	48	0	13.7	0	233	2.041	76	0	12.16	0.000	
.79	18:26:50.366	0000100000101011	2200	5805	1.853	.488	3.8	257	27	27	175	14	1	1	95	48	0	13.7	0	238	2.056	76	0	12.2	0.000	
.841	18:26:50.417	0000100000101011	2185	5669	1.822	.488	3.73	257	27	27	175	14	1	1	95	48	0	13.7	0	236	2.117	76	0	12.34	0.000	
.889	18:26:50.465	0000100000101011	2106	5701	1.833	.488	3.652	257	27	27	175	14	1	1	95	48	3	13.7	0	233	2.071	76	0	12.23	0.000	
.939	18:26:50.515	0000100000101011	2137	5829	1.864	.488	3.714	257	27	27	175	14	1	1	95	48	1	13.7	0	234	2.051	76	0	12.18	0.000	
.99	18:26:50.566	0000100000101011	2198	5757	1.838	.488	3.824	257	27	27	175	14	1	1	95	48	1	13.7	0	236	2.197	76	0	12.53	0.000	
1.043	18:26:50.619	0000100000101011	2122	5645	1.823	.488	3.683	257	27	27	175	14	1	1	95	48	0	13.7	0	234	2.137	76	0	12.39	0.000	
1.091	18:26:50.667	0000100000101011	2130	5749	1.848	.488	3.691	257	27	27	175	14	1	1	95	48	0	13.7	0	234	1.971	76	0	11.99	0.000	
1.139	18:26:50.715	0000100000101011	2221	5805	1.848	.488	3.808	257	27	27	175	14	1	1	95	48	0	13.7	0	236	1.991	76	0	12.04	0.000	
1.191	18:26:50.767	0000100000101011	2163	5661	1.826	.488	3.753	257	27	27	175	14	1	1	95	48	0	13.7	0	236	2.127	76	0	12.36	0.000	
1.24	18:26:50.816	0000100000101011	2103	5741	1.845	.488	3.691	257	27	27	175	14	1	1	95	48	2	13.7	0	233	2.122	76	0	12.35	0.000	
1.29	18:26:50.866	0000100000101011	2191	5805	1.853	.488	3.769	257	27	27	175	14	1	1	95	48	1	13.7	0	234	2.147	76	0	12.41	0.000	
1.339	18:26:50.915	0000100000101011	2195	5701	1.828	.488	3.746	257	27	27	175	14	1	1	95	48	0	13.7	0	236	2.238	76	0	12.63	0.000	
1.391	18:26:50.967	0000100000101011	2110	5653	1.823	.488	3.644	257	27	27	175	14	1	1	95	48	0	13.7	0	233	2.112	76	0	12.33	0.000	
