[13B-REW 5.08][DL-340XB][AEM 30-0334 X Series]
Time(s)	Clock    	Switches        	RPM	PIM	PIM V	TPS V	InjFrPr	Inj +/-	IGL	IGT	FuelT	Oil	PC%	WG%	WtrT	AirT	Knock	BatV	Speed	???(2)	O2S	???	InjFrSc	AN1-AN2 Wide Band O2	AN2 raw	
0	19:31:00.125	0000100000101011	1719	6173	1.917	.537	3.617	326	-4	-4	175	16	1	1	77	32	7	14	0	6	3.377	76	0	15.33	0.000	
.039	19:31:00.164	0000100000101011	1664	6093	1.908	.537	0	330	25	25	175	16	1	1	77	32	2	14	0	6	3.064	76	0	14.59	0.000	
.09	19:31:00.215	0000100000101011	1676	6197	1.924	.537	0	326	25	25	175	16	1	1	77	32	3	14	0	6	2.777	76	0	13.91	0.000	
.14	19:31:00.265	0000100000101011	1747	6197	1.919	.537	0	326	25	25	175	16	1	1	77	32	0	14	0	6	2.676	76	0	13.67	0.000	
.188	19:31:00.313	0000100000101011	1764	6061	1.892	.537	0	330	25	25	175	16	1	1	77	32	0	14	0	6	2.727	76	0	13.79	0.000	
.241	19:31:00.366	0000100000101011	1707	5949	1.877	.541	0	330	25	25	175	14	1	1	77	32	0	14	0	6	2.686	76	0	13.69	0.000	
.29	19:31:00.415	0000100000101011	1626	6077	1.907	.537	0	330	25	25	175	14	1	1	77	32	0	14	0	6	2.666	76	0	13.64	0.000	
.34	19:31:00.465	0000100000101011	1563	6229	1.946	.537	0	326	24	24	175	14	1	1	77	32	0	14	0	6	2.727	76	0	13.79	0.000	
.388	19:31:00.513	0000100000101011	1457	6509	1.993	.537	0	326	23	22	175	16	1	1	77	32	0	14	0	6	2.888	76	0	14.17	0.000	
.44	19:31:00.565	0000100000101011	1388	6693	2.032	.537	0	322	23	21	175	16	1	1	77	32	0	14	0	6	3.185	76	0	14.88	0.000	
.492	19:31:00.617	0000100000101011	1316	6909	2.075	.537	5.859	322	22	20	175	16	1	1	77	32	0	14	0	6	3.74	76	0	16.19	0.000	
.54	19:31:00.665	0000100000101011	1241	7173	2.132	.537	6.328	318	19	18	175	18	1	1	77	32	0	14	0	6	4.39	76	0	17.74	0.000	
.59	19:31:00.715	0000100000101011	1285	7541	2.183	.537	6.546	318	18	16	175	18	1	1	77	32	0	14	0	6	4.4	76	0	17.76	0.000	
.639	19:31:00.764	0000100000101011	1445	7413	2.153	.541	4.89	318	20	19	175	18	1	1	77	32	0	14	0	6	4.4	76	0	17.76	0.000	
.692	19:31:00.817	0000100000101011	1649	6965	2.074	.537	4.484	322	21	19	175	18	1	1	77	32	4	14	0	6	4.4	76	0	17.76	0.000	
.739	19:31:00.864	0000100000101011	1715	6669	1.997	.537	4.21	322	17	15	175	16	1	1	77	32	0	14	0	6	4.4	76	0	17.76	0.000	
.79	19:31:00.915	0000100000101011	1753	6349	1.947	.537	3.804	326	12	11	175	16	1	1	77	32	5	14	0	6	4.4	76	0	17.76	0.000	
.841	19:31:00.966	0000100000101011	1707	6189	1.927	.537	3.64	326	7	7	175	16	1	1	77	32	0	14	0	6	3.624	76	0	15.92	0.000	
.889	19:31:01.014	0000100000101011	1697	6221	1.932	.537	3.523	326	2	2	175	16	1	1	77	32	6	14	0	6	3.014	76	0	14.47	0.000	
.942	19:31:01.067	0000100000101011	1706	6205	1.928	.537	3.546	326	-4	-4	175	16	1	1	77	32	0	14	0	6	2.888	76	0	14.17	0.000	
.99	19:31:01.115	0000100000101011	1702	6117	1.91	.537	0	330	25	25	175	16	1	1	77	32	0	14	0	6	2.878	76	0	14.15	0.000	
1.04	19:31:01.165	0000100000101011	1715	6101	1.909	.537	0	330	25	25	175	16	1	1	77	32	0	14	0	6	2.757	76	0	13.86	0.000	
1.091	19:31:01.216	0000100000101011	1740	6061	1.901	.537	0	330	25	25	175	16	1	1	77	32	0	14	0	6	2.636	76	0	13.57	0.000	
1.14	19:31:01.265	0000100000101011	1732	5973	1.892	.537	0	330	25	25	175	14	1	1	77	32	0	14	0	6	2.666	76	0	13.64	0.000	
1.19	19:31:01.315	0000100000101011	1639	6077	1.911	.537	0	330	25	25	175	14	1	1	77	32	0	14	0	6	2.666	76	0	13.64	0.000	
1.239	19:31:01.364	0000100000101011	1553	6253	1.941	.537	0	326	24	24	175	14	1	1	77	32	0	14	0	6	2.706	76	0	13.74	0.000	
1.292	19:31:01.417	0000100000101011	1488	6397	1.975	.537	0	326	24	23	175	13	1	1	77	32	0	14	0	6	2.767	76	0	13.88	0.000	
1.339	19:31:01.464	0000100000101011	1378	6725	2.028	.537	0	322	23	21	175	16	1	1	77	32	0	14	0	6	2.913	76	0	14.23	0.000	
1.389	19:31:01.514	0000100000101011	1306	6941	2.072	.537	5.937	322	22	20	175	16	1	1	77	32	0	14	0	6	3.331	76	0	15.22	0.000	
1.441	19:31:01.566	0000100000101011	1230	7213	2.126	.537	6.382	318	19	18	175	17	1	1	77	32	0	14	0	6	4.098	76	0	17.05	0.000	
1.491	19:31:01.616	0000100000101011	1196	7501	2.184	.537	6.609	318	16	15	175	18	1	1	77	32	0	14	0	6	4.4	76	0	17.76	0.000	
1.541	19:31:01.666	0000100000101011	1352	7573	2.179	.537	5.812	318	18	17	175	18	1	1	77	32	0	14	0	6	4.4	76	0	17.76	0.000	
1.592	19:31:01.717	0000100000101011	1606	7133	2.102	.537	4.468	322	24	22	175	18	1	1	77	32	4	14	0	6	4.4	76	0	17.76	0.000	
1.64	19:31:01.765	0000100000101011	1683	6797	2.023	.537	4.226	322	19	17	175	16	1	1	77	32	0	14	0	6	4.4	76	0	17.76	0.000	
1.691	19:31:01.816	0000100000101011	1687	6477	1.973	.537	3.953	326	14	13	175	16	1	1	77	32	0	14	0	6	4.4	76	0	17.76	0.000	
1.741	19:31:01.866	0000100000101011	1698	6357	1.953	.537	3.687	326	8	7	175	16	1	1	77	32	0	14	0	6	4.183	76	0	17.25	0.000	
1.791	19:31:01.916	0000100000101011	1702	6277	1.946	.537	3.648	326	3	3	175	16	1	1	77	32	0	14	0	6	3.573	76	0	15.8	0.000	
1.841	19:31:01.966	0000100000101011	1687	6181	1.923	.537	3.57	326	-2	-2	175	16	1	1	77	32	2	14	0	6	3.226	76	0	14.97	0.000	
1.892	19:31:02.017	0000100000101011	1649	6213	1.931	.537	3.492	326	25	25	175	16	1	1	77	32	0	14	0	6	2.928	76	0	14.27	0.000	
1.941	19:31:02.066	0000100000101011	1635	6213	1.932	.537	0	326	25	25	175	16	1	1	77	32	0	14	0	6	2.767	76	0	13.88	0.000	
1.991	19:31:02.116	0000100000101011	1734	6197	1.924	.537	0	326	25	25	175	16	1	1	77	32	1	14	0	6	2.747	76	0	13.84	0.000	
2.042	19:31:02.167	0000100000101011	1747	6093	1.902	.537	0	330	25	25	175	16	1	1	77	32	0	14	0	6	2.777	76	0	13.91	0.000	
2.091	19:31:02.216	0000100000101011	1672	6021	1.895	.537	0	330	25	25	175	16	1	1	77	32	0	14	0	6	2.767	76	0	13.88	0.000	
