[13B-REW 5.08][DL-340XB][AEM 30-0334 X Series]
Time(s)	Clock    	Switches        	RPM	PIM	PIM V	TPS V	InjFrPr	Inj +/-	IGL	IGT	FuelT	Oil	PC%	WG%	WtrT	AirT	Knock	BatV	Speed	???(2)	O2S	???	InjFrSc	AN1-AN2 Wide Band O2	AN2 raw	
0	20:36:30.121	0000100000101011	1861	5741	1.835	.537	3.773	328	16	16	175	14	1	1	65	36	4	14	0	30	2.409	76	0	13.03	0.000	
.04	20:36:30.161	0000100000101011	1770	5717	1.837	.537	3.796	328	10	10	175	14	1	1	65	36	0	14	0	30	2.339	76	0	12.87	0.000	
.09	20:36:30.211	0000100000101011	1747	5837	1.87	.537	3.742	328	25	25	175	14	1	1	65	36	0	14	0	30	2.258	76	0	12.68	0.000	
.138	20:36:30.259	0000100000101011	1826	5933	1.875	.537	3.546	328	26	26	175	14	1	1	65	36	0	14	0	30	2.288	76	0	12.75	0.000	
.189	20:36:30.310	0000100000101011	1845	5781	1.849	.537	3.71	328	17	17	175	14	1	1	66	36	5	14	0	30	2.359	76	0	12.92	0.000	
.241	20:36:30.362	0000100000101011	1753	5749	1.843	.537	3.742	328	11	11	175	14	1	1	66	36	0	14	0	28	2.369	76	0	12.94	0.000	
.291	20:36:30.412	0000100000101011	1768	5933	1.877	.537	3.546	328	25	25	175	14	1	1	66	36	0	14	0	28	2.318	76	0	12.82	0.000	
.341	20:36:30.462	0000100000101011	1850	5885	1.869	.537	3.546	328	21	21	175	14	1	1	66	36	0	14	0	28	2.409	76	0	13.03	0.000	
.391	20:36:30.512	0000100000101011	1841	5765	1.842	.537	3.726	328	16	16	175	14	1	1	66	36	0	14	0	28	2.429	76	0	13.08	0.000	
.44	20:36:30.561	0000100000101011	1750	5749	1.843	.537	3.757	328	10	10	175	14	1	1	66	36	0	14	0	28	2.359	76	0	12.92	0.000	
.492	20:36:30.613	0000100000101011	1702	5853	1.879	.537	3.687	328	25	25	175	14	1	1	66	36	0	14	0	28	2.278	76	0	12.72	0.000	
.542	20:36:30.663	0000100000101011	1790	6013	1.89	.537	3.437	328	25	25	175	16	1	1	66	36	0	14	0	28	2.298	76	0	12.77	0.000	
.592	20:36:30.713	0000100000101011	1877	5837	1.86	.537	3.671	328	18	18	175	14	1	1	66	36	0	14	0	28	2.389	76	0	12.99	0.000	
.641	20:36:30.762	0000100000101011	1793	5725	1.838	.537	3.742	328	12	12	175	14	1	1	66	36	0	14	0	28	2.328	76	0	12.84	0.000	
.689	20:36:30.810	0000100000101011	1740	5781	1.861	.537	3.64	328	25	25	175	14	1	1	66	36	0	14	0	28	2.228	76	0	12.6	0.000	
.741	20:36:30.862	0000100000101011	1764	5989	1.887	.537	3.492	328	25	25	175	14	1	1	66	36	0	14	0	28	2.197	76	0	12.53	0.000	
.791	20:36:30.913	0000100000101011	1870	5877	1.866	.537	3.632	328	19	19	175	14	1	1	66	36	2	14	0	28	2.369	76	0	12.94	0.000	
.84	20:36:30.961	0000100000101011	1786	5741	1.841	.537	3.718	328	13	13	175	14	1	1	66	36	0	14	0	28	2.389	76	0	12.99	0.000	
.892	20:36:31.013	0000100000101011	1738	5805	1.865	.537	3.726	328	25	25	175	14	1	1	66	36	0	14	0	28	2.349	76	0	12.89	0.000	
.94	20:36:31.061	0000100000101011	1787	5957	1.888	.537	3.523	328	25	25	175	14	1	1	66	36	0	14	0	28	2.288	76	0	12.75	0.000	
.99	20:36:31.111	0000100000101011	1890	5869	1.865	.537	3.656	328	17	17	175	14	1	1	66	36	1	14	0	28	2.409	76	0	13.03	0.000	
1.041	20:36:31.162	0000100000101011	1809	5717	1.836	.537	3.75	328	13	13	175	14	1	1	66	36	0	14	0	28	2.399	76	0	13.01	0.000	
1.09	20:36:31.211	0000100000101011	1743	5805	1.853	.537	3.679	328	25	25	175	14	1	1	66	36	0	14	0	28	2.369	76	0	12.94	0.000	
1.14	20:36:31.261	0000100000101011	1761	5949	1.888	.537	3.539	328	25	25	175	14	1	1	66	36	0	14	0	28	2.298	76	0	12.77	0.000	
1.191	20:36:31.312	0000100000101011	1881	5885	1.868	.537	3.632	328	19	19	175	14	1	1	66	36	2	14	0	28	2.379	76	0	12.96	0.000	
1.24	20:36:31.361	0000100000101011	1799	5741	1.84	.537	3.734	328	13	13	175	14	1	1	66	36	0	14	0	28	2.46	76	0	13.16	0.000	
1.29	20:36:31.411	0000100000101011	1744	5837	1.86	.537	3.656	328	25	25	175	14	1	1	66	36	3	14	0	28	2.429	76	0	13.08	0.000	
1.339	20:36:31.460	0000100000101011	1781	5941	1.88	.537	3.523	328	25	25	175	14	1	1	66	36	0	14	0	28	2.399	76	0	13.01	0.000	
1.389	20:36:31.510	0000100000101011	1883	5821	1.857	.537	3.695	328	17	17	175	14	1	1	66	36	2	14	0	28	2.525	76	0	13.31	0.000	
1.44	20:36:31.561	0000100000101011	1795	5709	1.835	.537	3.773	328	11	11	175	14	1	1	66	36	0	14	0	28	2.5	76	0	13.25	0.000	
1.49	20:36:31.611	0000100000101011	1727	5821	1.856	.537	3.656	328	25	25	175	14	1	1	66	36	0	14	0	28	2.399	76	0	13.01	0.000	
1.54	20:36:31.661	0000100000101011	1756	5989	1.892	.537	3.492	328	25	25	175	14	1	1	66	36	0	14	0	28	2.328	76	0	12.84	0.000	
1.59	20:36:31.711	0000100000101011	1880	5893	1.87	.537	3.617	328	19	19	175	14	1	1	66	36	2	14	0	28	2.46	76	0	13.16	0.000	
1.639	20:36:31.760	0000100000101011	1798	5749	1.842	.537	3.718	328	13	13	175	14	1	1	66	36	0	14	0	28	2.49	76	0	13.23	0.000	
1.69	20:36:31.811	0000100000101011	1732	5845	1.861	.537	3.64	328	25	25	175	14	1	1	66	36	0	14	0	28	2.47	76	0	13.18	0.000	
1.742	20:36:31.863	0000100000101011	1778	5973	1.887	.537	3.492	328	25	25	175	14	1	1	66	36	0	14	0	28	2.409	76	0	13.03	0.000	
1.79	20:36:31.911	0000100000101011	1892	5861	1.859	.537	3.679	328	19	19	175	14	1	1	66	36	4	14	0	28	2.495	76	0	13.24	0.000	
1.84	20:36:31.961	0000100000101011	1809	5725	1.84	.537	3.757	328	14	14	175	14	1	1	66	36	0	14	0	28	2.51	76	0	13.27	0.000	
1.892	20:36:32.013	0000100000101011	1746	5813	1.855	.537	3.671	328	25	25	175	14	1	1	66	36	0	14	0	28	2.439	76	0	13.11	0.000	
1.941	20:36:32.062	0000100000101011	1794	5973	1.886	.537	3.523	328	25	25	175	14	1	1	66	36	0	14	0	28	2.379	76	0	12.96	0.000	
1.991	20:36:32.112	0000100000101011	1887	5869	1.861	.537	3.656	328	19	19	175	14	1	1	66	36	2	14	0	28	2.49	76	0	13.23	0.000	
2.042	20:36:32.163	0000100000101011	1799	5725	1.84	.537	3.734	328	13	13	175	14	1	1	66	36	0	14	0	28	2.5	76	0	13.25	0.000	
2.09	20:36:32.211	0000100000101011	1736	5845	1.861	.537	3.648	328	25	25	175	14	1	1	66	36	0	14	0	28	2.449	76	0	13.13	0.000	
2.141	20:36:32.262	0000100000101011	1810	5973	1.885	.537	3.507	328	22	22	175	14	1	1	66	36	0	14	0	28	2.419	76	0	13.06	0.000	
2.19	20:36:32.311	0000100000101011	1895	5837	1.856	.537	3.687	328	18	18	175	14	1	1	66	36	5	14	0	28	2.5	76	0	13.25	0.000	
2.242	20:36:32.363	0000100000101011	1808	5709	1.836	.537	3.757	328	13	13	175	14	1	1	66	36	0	14	0	28	2.49	76	0	13.23	0.000	
2.292	20:36:32.413	0000100000101011	1745	5813	1.856	.537	3.679	328	25	25	175	14	1	1	66	36	0	14	0	28	2.379	76	0	12.96	0.000	
2.341	20:36:32.462	0000100000101011	1778	5973	1.886	.537	3.523	328	25	25	175	14	1	1	66	36	0	14	0	28	2.318	76	0	12.82	0.000	
2.391	20:36:32.512	0000100000101011	1879	5893	1.867	.537	3.609	328	21	21	175	14	1	1	66	36	5	14	0	28	2.485	76	0	13.21	0.000	
2.442	20:36:32.563	0000100000101011	1830	5741	1.84	.537	3.726	328	16	16	175	14	1	1	66	36	0	14	0	28	2.47	76	0	13.18	0.000	
2.492	20:36:32.613	0000100000101011	1773	5781	1.849	.537	3.726	328	10	10	175	14	1	1	66	36	0	14	0	28	2.359	76	0	12.92	0.000	
2.542	20:36:32.663	0000100000101011	1784	5909	1.875	.537	3.617	328	25	25	175	14	1	1	66	36	0	14	0	28	2.268	76	0	12.7	0.000	
2.59	20:36:32.711	0000100000101011	1878	5869	1.861	.537	3.64	328	19	19	175	14	1	1	66	36	1	14	0	28	2.369	76	0	12.94	0.000	
2.64	20:36:32.761	0000100000101011	1831	5717	1.838	.537	3.757	328	14	14	175	14	1	1	66	36	0	14	0	28	2.359	76	0	12.92	0.000	
2.691	20:36:32.812	0000100000101011	1758	5757	1.845	.537	3.734	328	25	25	175	14	1	1	66	36	0	14	0	28	2.328	76	0	12.84	0.000	
2.74	20:36:32.861	0000100000101011	1784	5949	1.886	.537	3.601	328	25	25	175	14	1	1	66	36	0	14	0	28	2.298	76	0	12.77	0.000	
2.789	20:36:32.910	0000100000101011	1883	5909	1.868	.537	3.617	328	19	19	175	14	1	1	66	36	4	14	0	28	2.409	76	0	13.03	0.000	
2.84	20:36:32.961	0000100000101011	1817	5733	1.839	.537	3.71	328	14	14	175	14	1	1	66	36	0	14	0	28	2.419	76	0	13.06	0.000	
2.89	20:36:33.011	0000100000101011	1765	5821	1.856	.537	3.695	328	25	25	175	14	1	1	66	36	3	14	0	28	2.369	76	0	12.94	0.000	
2.942	20:36:33.063	0000100000101011	1804	5941	1.881	.537	3.57	328	26	26	175	14	1	1	66	36	0	14	0	28	2.308	76	0	12.79	0.000	
2.992	20:36:33.113	0000100000101011	1888	5853	1.857	.537	3.656	328	19	19	175	14	1	1	66	36	3	14	0	28	2.419	76	0	13.06	0.000	
3.04	20:36:33.161	0000100000101011	1827	5717	1.831	.537	3.757	328	14	14	175	14	1	1	66	36	0	14	0	28	2.409	76	0	13.03	0.000	
