[13B-REW 5.08][DL-340XB][AEM 30-0300 X Series]
Time(s)	RPM	PIM	PIM V	TPS V	InjFrPr	Inj +/-	IGL	IGT	FuelT	Oil	PC%	WG%	WtrT	AirT	Knock	BatV	Speed	???(2)	O2S	???	InjFrSc	AN1-AN2 Wide Band O2	AN2 raw	
0	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.045	76	0	7.42	0.000	
.047	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.005	76	0	7.32	0.000	
.097	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.04	76	0	7.41	0.000	
.147	0	9877	2.626	.673	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.066	76	0	7.47	0.000	
.197	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.005	76	0	7.32	0.000	
.247	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.02	76	0	7.36	0.000	
.297	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.035	76	0	7.4	0.000	
.344	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.005	76	0	7.32	0.000	
.398	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.02	76	0	7.36	0.000	
.446	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.035	76	0	7.4	0.000	
.496	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.005	76	0	7.32	0.000	
.547	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.01	76	0	7.34	0.000	
.595	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.035	76	0	7.4	0.000	
.648	0	9877	2.626	.673	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.04	76	0	7.41	0.000	
.697	0	9877	2.626	.673	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	0	76	0	7.31	0.000	
.745	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.025	76	0	7.37	0.000	
.797	0	9877	2.626	.673	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.06	76	0	7.45	0.000	
.845	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	0	76	0	7.31	0.000	
.902	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.005	76	0	7.32	0.000	
.946	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.06	76	0	7.45	0.000	
.996	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.055	76	0	7.44	0.000	
1.047	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.015	76	0	7.35	0.000	
1.097	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.06	76	0	7.45	0.000	
1.149	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.066	76	0	7.47	0.000	
1.197	0	9877	2.626	.673	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.015	76	0	7.35	0.000	
1.245	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.06	76	0	7.45	0.000	
1.297	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.066	76	0	7.47	0.000	
1.347	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.005	76	0	7.32	0.000	
1.397	0	9877	2.626	.673	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.04	76	0	7.41	0.000	
1.446	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.066	76	0	7.47	0.000	
1.496	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.005	76	0	7.32	0.000	
1.547	0	9877	2.626	.673	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.03	76	0	7.38	0.000	
1.595	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.055	76	0	7.44	0.000	
1.648	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.005	76	0	7.32	0.000	
1.698	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.01	76	0	7.34	0.000	
1.747	0	9877	2.626	.673	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.035	76	0	7.4	0.000	
1.798	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.05	76	0	7.43	0.000	
1.848	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.01	76	0	7.34	0.000	
1.899	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.015	76	0	7.35	0.000	
1.945	0	9877	2.626	.673	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.05	76	0	7.43	0.000	
1.997	0	9877	2.626	.673	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.01	76	0	7.34	0.000	
2.045	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.025	76	0	7.37	0.000	
2.097	0	9877	2.626	.673	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.06	76	0	7.45	0.000	
2.147	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.035	76	0	7.4	0.000	
2.196	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.015	76	0	7.35	0.000	
2.246	0	9877	2.626	.673	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.06	76	0	7.45	0.000	
2.298	0	9877	2.626	.673	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.066	76	0	7.47	0.000	
2.347	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.005	76	0	7.32	0.000	
2.396	0	9877	2.626	.673	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.05	76	0	7.43	0.000	
2.446	0	9845	2.622	.673	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.066	76	0	7.47	0.000	
2.495	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.005	76	0	7.32	0.000	
2.547	0	9877	2.626	.673	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.03	76	0	7.38	0.000	
2.596	0	9877	2.626	.673	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.055	76	0	7.44	0.000	
2.647	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.005	76	0	7.32	0.000	
2.697	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.02	76	0	7.36	0.000	
2.747	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.045	76	0	7.42	0.000	
2.798	0	9877	2.626	.673	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	0	76	0	7.31	0.000	
2.846	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.01	76	0	7.34	0.000	
2.897	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.025	76	0	7.37	0.000	
2.945	0	9877	2.626	.668	15.281	421	9	5	175	51	1	1	17	12	0	12.5	0	875	.005	76	0	7.32	0.000	
