[13B-REW 5.08][DL-340XB][AEM 30-0300 X Series]
Time(s)	RPM	PIM	PIM V	TPS V	InjFrPr	Inj +/-	IGL	IGT	FuelT	Oil	PC%	WG%	WtrT	AirT	Knock	BatV	Speed	???(2)	O2S	???	InjFrSc	AN1-AN2 Wide Band O2	AN2 raw	
0	0	9845	2.622	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	.01	76	0	7.34	0.000	
.046	0	9845	2.622	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	.045	76	0	7.42	0.000	
.096	0	9845	2.622	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	0	76	0	7.31	0.000	
.147	0	9845	2.622	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	.01	76	0	7.34	0.000	
.196	0	9877	2.626	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	.025	76	0	7.37	0.000	
.246	0	9845	2.622	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	.05	76	0	7.43	0.000	
.297	0	9845	2.622	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	.066	76	0	7.47	0.000	
.346	0	9877	2.626	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	.005	76	0	7.32	0.000	
.396	0	9845	2.622	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	.05	76	0	7.43	0.000	
.445	0	9845	2.622	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	.066	76	0	7.47	0.000	
.495	0	9845	2.622	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	.005	76	0	7.32	0.000	
.547	0	9845	2.622	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	.02	76	0	7.36	0.000	
.596	0	9845	2.622	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	.045	76	0	7.42	0.000	
.645	0	9877	2.626	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	0	76	0	7.31	0.000	
.694	0	9877	2.626	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	.01	76	0	7.34	0.000	
.746	0	9845	2.622	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	.025	76	0	7.37	0.000	
.795	0	9845	2.622	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	.06	76	0	7.45	0.000	
.847	0	9845	2.622	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	.066	76	0	7.47	0.000	
.896	0	9845	2.622	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	.005	76	0	7.32	0.000	
.945	0	9877	2.626	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	.04	76	0	7.41	0.000	
.996	0	9877	2.626	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	.045	76	0	7.42	0.000	
1.044	0	9845	2.622	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	.005	76	0	7.32	0.000	
1.095	0	9845	2.622	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	.01	76	0	7.34	0.000	
1.145	0	9845	2.622	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	.015	76	0	7.35	0.000	
1.196	0	9845	2.622	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	.06	76	0	7.45	0.000	
1.247	0	9845	2.622	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	.066	76	0	7.47	0.000	
1.295	0	9877	2.626	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	.005	76	0	7.32	0.000	
1.345	0	9845	2.622	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	.04	76	0	7.41	0.000	
1.395	0	9877	2.626	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	.045	76	0	7.42	0.000	
1.444	0	9845	2.622	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	.005	76	0	7.32	0.000	
1.495	0	9845	2.622	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	.01	76	0	7.34	0.000	
1.548	0	9877	2.626	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	.015	76	0	7.35	0.000	
1.596	0	9877	2.626	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	.06	76	0	7.45	0.000	
1.648	0	9845	2.622	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	.066	76	0	7.47	0.000	
1.696	0	9845	2.622	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	.005	76	0	7.32	0.000	
1.745	0	9845	2.622	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	.05	76	0	7.43	0.000	
1.797	0	9845	2.622	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	.066	76	0	7.47	0.000	
1.847	0	9845	2.622	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	0	76	0	7.31	0.000	
1.896	0	9877	2.626	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	.02	76	0	7.36	0.000	
1.945	0	9845	2.622	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	.035	76	0	7.4	0.000	
1.996	0	9877	2.626	.678	0	0	-25	-25	175	51	1	1	23	20	0	12.4	0	0	.03	76	0	7.38	0.000	
