[13B-REW 5.08][DL-340XB][AEM 30-0334 X Series]
Time(s)	Clock    	Switches        	RPM	PIM	PIM V	TPS V	InjFrPr	Inj +/-	IGL	IGT	FuelT	Oil	PC%	WG%	WtrT	AirT	Knock	BatV	Speed	???(2)	O2S	???	InjFrSc	AN1-AN2 Wide Band O2	AN2 raw	
0	20:46:52.685	0000100000101011	1744	6213	1.919	.537	0	322	25	25	175	16	1	1	76	37	2	14	0	8	5.02	76	0	19.23	0.000	
.041	20:46:52.726	0000100000101011	1723	6029	1.895	.537	0	326	25	25	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
.094	20:46:52.779	0000100000101011	1624	6101	1.909	.537	0	326	25	25	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
.141	20:46:52.826	0000100000101011	1561	6237	1.941	.537	0	322	24	24	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
.193	20:46:52.878	0000100000101011	1469	6429	1.972	.537	0	322	24	23	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
.241	20:46:52.926	0000100000101011	1398	6637	2.019	.537	0	322	23	22	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
.293	20:46:52.978	0000100000101011	1325	6861	2.072	.537	6.015	318	22	20	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
.341	20:46:53.026	0000100000101011	1247	7101	2.119	.537	6.367	318	20	19	175	18	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
.389	20:46:53.074	0000100000101011	1206	7421	2.174	.537	6.343	314	18	17	175	18	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
.442	20:46:53.127	0000100000101011	1430	7453	2.166	.537	5.32	314	20	19	175	18	1	1	76	37	1	14	0	8	5.02	76	0	19.23	0.000	
.489	20:46:53.174	0000100000101011	1592	7141	2.085	.537	4.484	318	23	21	175	18	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
.54	20:46:53.225	0000100000101011	1667	6693	2.011	.537	3.992	318	17	15	175	16	1	1	76	37	1	14	0	8	5.02	76	0	19.23	0.000	
.59	20:46:53.275	0000100000101011	1643	6477	1.981	.537	3.82	322	12	11	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
.64	20:46:53.325	0000100000101011	1672	6405	1.967	.537	3.695	322	8	7	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
.691	20:46:53.376	0000100000101011	1709	6317	1.949	.537	3.664	322	3	3	175	16	1	1	76	37	1	14	0	8	5.02	76	0	19.23	0.000	
.742	20:46:53.427	0000100000101011	1711	6181	1.92	.537	3.625	322	-2	-2	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
.79	20:46:53.475	0000100000101011	1681	6117	1.913	.537	0	326	25	25	175	16	1	1	76	37	1	14	0	8	5.02	76	0	19.23	0.000	
.84	20:46:53.525	0000100000101011	1662	6229	1.932	.537	0	322	25	25	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
.893	20:46:53.578	0000100000101011	1779	6197	1.923	.537	0	322	25	25	175	16	1	1	76	37	1	14	0	8	5.02	76	0	19.23	0.000	
.942	20:46:53.627	0000100000101011	1827	6013	1.891	.537	0	326	25	25	175	16	1	1	76	37	10	14	0	8	5.02	76	0	19.23	0.000	
.991	20:46:53.676	0000100000101011	1753	5837	1.858	.537	0	326	25	25	175	14	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
1.043	20:46:53.728	0000100000101011	1655	5997	1.889	.537	0	326	25	25	175	14	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
1.09	20:46:53.775	0000100000101011	1593	6133	1.921	.537	0	326	24	24	175	14	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
1.141	20:46:53.826	0000100000101011	1502	6365	1.962	.537	0	322	24	23	175	15	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
1.193	20:46:53.878	0000100000101011	1434	6549	2.004	.537	0	322	23	22	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
1.241	20:46:53.926	0000100000101011	1362	6717	2.051	.537	5.734	318	23	21	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
1.293	20:46:53.978	0000100000101011	1240	7149	2.108	.537	6.273	318	20	19	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
1.34	20:46:54.025	0000100000101011	1208	7245	2.154	.537	6.492	314	19	18	175	18	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
1.39	20:46:54.075	0000100000101011	1344	7517	2.178	.537	5.796	314	18	17	175	18	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
1.441	20:46:54.126	0000100000101011	1501	7301	2.119	.537	4.937	314	22	20	175	18	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
1.493	20:46:54.178	0000100000101011	1693	6797	2.027	.537	4.171	318	19	17	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
1.539	20:46:54.224	0000100000101011	1705	6429	1.971	.537	3.914	322	14	13	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
1.591	20:46:54.276	0000100000101011	1682	6293	1.946	.537	3.578	322	9	9	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
1.64	20:46:54.325	0000100000101011	1671	6309	1.944	.537	3.531	322	5	5	175	16	1	1	76	37	1	14	0	8	5.02	76	0	19.23	0.000	
1.689	20:46:54.374	0000100000101011	1722	6253	1.928	.537	3.585	322	0	0	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
1.741	20:46:54.426	0000100000101011	1713	6109	1.907	.537	3.5	326	-5	-5	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
1.79	20:46:54.475	0000100000101011	1647	6117	1.918	.537	0	326	25	25	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
1.841	20:46:54.526	0000100000101011	1719	6229	1.932	.537	0	322	25	25	175	16	1	1	76	37	4	14	0	8	5.02	76	0	19.23	0.000	
1.89	20:46:54.575	0000100000101011	1786	6093	1.909	.537	0	326	25	25	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
1.941	20:46:54.626	0000100000101011	1756	5933	1.878	.537	0	326	25	25	175	14	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
1.991	20:46:54.676	0000100000101011	1698	5925	1.885	.537	0	326	25	25	175	14	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
2.041	20:46:54.726	0000100000101011	1596	6125	1.924	.537	0	326	24	24	175	14	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
2.09	20:46:54.775	0000100000101011	1506	6341	1.955	.537	0	322	24	23	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
2.142	20:46:54.827	0000100000101011	1438	6501	1.997	.537	0	322	23	22	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
2.19	20:46:54.875	0000100000101011	1365	6733	2.045	.537	5.742	318	23	21	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
2.239	20:46:54.924	0000100000101011	1291	6981	2.099	.537	6.218	318	21	20	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
2.29	20:46:54.975	0000100000101011	1211	7213	2.154	.537	6.492	314	19	18	175	18	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
2.341	20:46:55.026	0000100000101011	1325	7517	2.178	.537	5.867	314	18	17	175	18	1	1	76	37	6	14	0	8	5.02	76	0	19.23	0.000	
2.391	20:46:55.076	0000100000101011	1478	7333	2.124	.537	5.039	314	21	20	175	18	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
2.441	20:46:55.126	0000100000101011	1675	6853	2.045	.537	4.179	318	21	19	175	18	1	1	76	37	4	14	0	8	5.02	76	0	19.23	0.000	
2.492	20:46:55.177	0000100000101011	1674	6493	1.984	.537	3.929	322	16	15	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
2.541	20:46:55.226	0000100000101011	1633	6413	1.971	.537	3.742	322	12	11	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
2.591	20:46:55.276	0000100000101011	1667	6405	1.965	.537	3.617	322	6	5	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
2.639	20:46:55.324	0000100000101011	1700	6333	1.953	.537	3.64	322	1	1	175	16	1	1	76	37	1	14	0	8	5.02	76	0	19.23	0.000	
2.693	20:46:55.378	0000100000101011	1686	6173	1.92	.537	3.539	322	-4	-4	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
2.741	20:46:55.426	0000100000101011	1636	6173	1.923	.537	0	326	25	25	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
2.792	20:46:55.477	0000100000101011	1634	6229	1.939	.537	0	322	25	25	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
2.841	20:46:55.526	0000100000101011	1738	6197	1.924	.537	0	322	25	25	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
2.893	20:46:55.578	0000100000101011	1747	6069	1.896	.537	0	326	25	25	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
2.943	20:46:55.628	0000100000101011	1670	5989	1.889	.537	0	326	25	25	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
2.992	20:46:55.677	0000100000101011	1567	6213	1.931	.537	0	322	24	24	175	14	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
3.04	20:46:55.725	0000100000101011	1500	6373	1.966	.537	0	322	24	23	175	14	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
3.091	20:46:55.776	0000100000101011	1433	6549	2.006	.537	0	322	23	22	175	14	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
3.141	20:46:55.826	0000100000101011	1332	6837	2.049	.537	0	318	22	20	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
3.191	20:46:55.876	0000100000101011	1254	7077	2.099	.537	6.328	318	20	19	175	17	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
3.241	20:46:55.926	0000100000101011	1214	7397	2.162	.537	6.281	314	18	17	175	18	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
3.293	20:46:55.978	0000100000101011	1367	7461	2.167	.537	5.265	314	19	18	175	18	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
3.343	20:46:56.028	0000100000101011	1597	7109	2.102	.537	4.453	318	23	21	175	18	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
3.39	20:46:56.075	0000100000101011	1636	6789	2.024	.537	4.14	318	19	17	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
3.443	20:46:56.128	0000100000101011	1686	6509	1.98	.537	3.812	322	14	13	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
3.491	20:46:56.176	0000100000101011	1681	6405	1.963	.537	3.734	322	8	7	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
3.543	20:46:56.228	0000100000101011	1711	6261	1.936	.537	3.625	322	3	3	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
3.59	20:46:56.275	0000100000101011	1705	6149	1.919	.537	3.554	322	-2	-2	175	16	1	1	76	37	1	14	0	8	5.02	76	0	19.23	0.000	
3.641	20:46:56.326	0000100000101011	1681	6093	1.914	.537	3.46	326	-5	-5	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
3.692	20:46:56.377	0000100000101011	1635	6189	1.928	.537	0	322	25	25	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
3.741	20:46:56.426	0000100000101011	1724	6261	1.935	.537	0	322	25	25	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
3.791	20:46:56.476	0000100000101011	1807	6093	1.901	.537	0	326	25	25	175	16	1	1	76	37	9	14	0	8	5.02	76	0	19.23	0.000	
3.843	20:46:56.528	0000100000101011	1753	5901	1.87	.537	0	326	25	25	175	14	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
3.891	20:46:56.576	0000100000101011	1672	5957	1.883	.537	0	326	25	25	175	14	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
3.941	20:46:56.626	0000100000101011	1569	6189	1.926	.537	0	326	24	24	175	14	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
3.993	20:46:56.678	0000100000101011	1504	6365	1.967	.537	0	322	24	23	175	13	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
4.042	20:46:56.727	0000100000101011	1436	6533	2.004	.537	0	322	23	22	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
4.092	20:46:56.777	0000100000101011	1335	6805	2.047	.537	0	318	22	21	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
4.142	20:46:56.827	0000100000101011	1257	7101	2.103	.537	6.312	318	20	19	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
4.191	20:46:56.876	0000100000101011	1218	7381	2.158	.537	6.257	314	18	17	175	18	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
4.241	20:46:56.926	0000100000101011	1361	7461	2.163	.537	5.304	314	19	18	175	18	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
4.293	20:46:56.978	0000100000101011	1584	7117	2.103	.537	4.515	318	23	21	175	18	1	1	76	37	2	14	0	8	5.02	76	0	19.23	0.000	
4.343	20:46:57.028	0000100000101011	1633	6805	2.027	.537	4.21	318	19	17	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
4.392	20:46:57.077	0000100000101011	1677	6541	1.983	.537	3.828	322	14	13	175	16	1	1	76	37	6	14	0	8	5.02	76	0	19.23	0.000	
4.442	20:46:57.127	0000100000101011	1665	6445	1.975	.537	3.695	322	8	7	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
4.491	20:46:57.176	0000100000101011	1709	6317	1.947	.537	3.664	322	3	3	175	16	1	1	76	37	4	14	0	8	5.02	76	0	19.23	0.000	
4.539	20:46:57.224	0000100000101011	1697	6173	1.923	.537	3.57	322	-2	-2	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
4.59	20:46:57.275	0000100000101011	1675	6133	1.923	.537	3.476	326	-5	-5	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
4.642	20:46:57.327	0000100000101011	1635	6197	1.932	.537	0	322	25	25	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
4.691	20:46:57.376	0000100000101011	1719	6253	1.938	.537	0	322	25	25	175	16	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
4.743	20:46:57.428	0000100000101011	1797	6109	1.902	.537	0	326	25	25	175	16	1	1	76	37	2	14	0	8	5.02	76	0	19.23	0.000	
4.791	20:46:57.476	0000100000101011	1715	5973	1.888	.537	0	326	25	25	175	15	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
4.84	20:46:57.525	0000100000101011	1632	6021	1.894	.537	0	326	25	25	175	14	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
4.892	20:46:57.577	0000100000101011	1568	6157	1.933	.537	0	322	24	24	175	14	1	1	76	37	0	14	0	8	5.02	76	0	19.23	0.000	
