[13B-REW 5.08][DL-340XB][AEM 30-0334 X Series]
Time(s)	Clock    	Switches        	RPM	PIM	PIM V	TPS V	InjFrPr	Inj +/-	IGL	IGT	FuelT	Oil	PC%	WG%	WtrT	AirT	Knock	BatV	Speed	???(2)	O2S	???	InjFrSc	AN1-AN2 Wide Band O2	AN2 raw	
0	17:16:02.974	0000100000101011	1123	7693	2.216	.458	0	259	15	13	175	18	1	1	95	43	1	13.8	31	176	2.586	76	0	13.45	0.000	
.041	17:16:03.015	0000100000101011	1082	7813	2.253	.458	5.503	259	15	12	175	18	1	1	95	43	0	13.8	30	178	2.822	76	0	14.01	0.000	
.091	17:16:03.065	0000100000101011	985	8117	2.298	.458	5.785	259	12	9	175	18	1	1	95	43	1	13.8	30	178	3.352	76	0	15.27	0.000	
.141	17:16:03.115	0000100000101011	926	8285	2.343	.458	5.785	259	11	8	175	20	1	1	95	43	0	13.8	29	177	4.218	76	0	17.33	0.000	
.19	17:16:03.164	0000100000101011	1000	8541	2.371	.458	5.867	259	-5	-8	175	20	1	1	95	43	1	13.8	28	180	4.4	76	0	17.76	0.000	
.241	17:16:03.215	0000100000101011	1156	8357	2.317	.458	5.406	259	1	-1	175	20	1	1	95	43	1	13.8	27	186	4.4	76	0	17.76	0.000	
.291	17:16:03.265	0000100000101011	1307	8021	2.25	.458	4.984	259	5	4	175	18	1	1	95	43	1	13.8	27	194	4.4	76	0	17.76	0.000	
.34	17:16:03.314	0000100000101011	1441	7509	2.176	.458	4.812	259	13	11	175	18	1	1	95	43	3	13.8	28	202	4.4	76	0	17.76	0.000	
.39	17:16:03.364	0000100000101011	1464	7325	2.138	.458	4.527	259	10	8	175	18	1	1	95	43	1	13.8	28	202	4.4	76	0	17.76	0.000	
.439	17:16:03.413	0000100000101011	1446	7205	2.118	.458	4.464	259	6	5	175	18	1	1	95	43	0	13.8	29	202	4.4	76	0	17.76	0.000	
.49	17:16:03.464	0000100000101011	1413	7229	2.124	.458	4.457	259	-1	-2	175	18	1	1	95	43	0	13.8	30	200	4.133	76	0	17.13	0.000	
.542	17:16:03.516	0000100000101011	1422	7253	2.121	.458	4.449	259	-5	-7	175	18	1	1	95	43	0	13.8	30	200	3.775	76	0	16.28	0.000	
.589	17:16:03.563	0000100000101011	1436	7221	2.115	.458	4.417	259	-9	-10	175	18	1	1	95	43	0	13.8	30	200	3.483	76	0	15.58	0.000	
.639	17:16:03.613	0000100000101011	1440	7085	2.096	.458	0	259	22	20	175	18	1	1	95	43	0	13.8	31	197	3.064	76	0	14.59	0.000	
.69	17:16:03.664	0000100000101011	1460	7085	2.096	.458	0	259	22	20	175	18	1	1	95	43	0	13.8	31	195	2.838	76	0	14.05	0.000	
.739	17:16:03.713	0000100000101011	1553	6997	2.069	.458	0	259	24	22	175	18	1	1	95	43	0	13.8	32	194	2.646	76	0	13.6	0.000	
.793	17:16:03.767	0000100000101011	1563	6893	2.036	.458	0	259	24	22	175	18	1	1	95	43	0	13.8	32	193	2.565	76	0	13.4	0.000	
.84	17:16:03.814	0000100000101011	1476	6749	2.035	.458	0	259	24	22	175	18	1	1	95	43	0	13.8	32	187	2.47	76	0	13.18	0.000	
.891	17:16:03.865	0000100000101011	1407	6861	2.068	.458	0	259	23	21	175	18	1	1	95	43	0	13.8	33	185	2.419	76	0	13.06	0.000	
.939	17:16:03.913	0000100000101011	1333	7053	2.114	.458	0	259	21	19	175	18	1	1	95	43	0	13.8	32	181	2.429	76	0	13.08	0.000	
.99	17:16:03.964	0000100000101011	1255	7309	2.159	.458	0	259	19	18	175	18	1	1	95	43	0	13.8	32	177	2.555	76	0	13.38	0.000	
1.041	17:16:04.015	0000100000101011	1173	7541	2.207	.458	0	259	16	15	175	18	1	1	95	43	0	13.8	31	174	2.807	76	0	13.98	0.000	
1.089	17:16:04.063	0000100000101011	1083	7781	2.254	.458	5.464	259	15	12	175	18	1	1	95	43	0	13.8	31	178	3.321	76	0	15.2	0.000	
1.139	17:16:04.113	0000100000101011	984	8141	2.301	.458	5.808	259	12	9	175	18	1	1	95	43	0	13.8	30	178	4.108	76	0	17.07	0.000	
1.19	17:16:04.164	0000100000101011	928	8301	2.355	.458	5.808	259	11	8	175	20	1	1	95	43	0	13.8	29	177	4.4	76	0	17.76	0.000	
1.24	17:16:04.214	0000100000101011	993	8549	2.371	.458	5.937	259	-5	-8	175	20	1	1	95	43	0	13.8	28	178	4.4	76	0	17.76	0.000	
1.289	17:16:04.263	0000100000101011	1145	8381	2.333	.458	5.421	259	1	-1	175	20	1	1	95	43	0	13.8	27	186	4.4	76	0	17.76	0.000	
1.34	17:16:04.314	0000100000101011	1296	8037	2.26	.458	5.015	259	5	4	175	18	1	1	95	43	0	13.8	27	194	4.4	76	0	17.76	0.000	
1.39	17:16:04.364	0000100000101011	1454	7517	2.178	.458	4.828	259	13	12	175	18	1	1	95	43	0	13.8	28	200	4.4	76	0	17.76	0.000	
1.439	17:16:04.413	0000100000101011	1513	7261	2.123	.458	4.511	259	11	9	175	18	1	1	95	43	0	13.8	29	204	4.41	76	0	17.79	0.000	
1.49	17:16:04.464	0000100000101011	1461	7069	2.093	.458	4.449	259	7	6	175	18	1	1	95	43	0	13.8	30	204	4.339	76	0	17.62	0.000	
1.541	17:16:04.515	0000100000101011	1405	7101	2.102	.458	4.386	259	1	-1	175	18	1	1	95	43	0	13.8	30	200	3.825	76	0	16.4	0.000	
1.589	17:16:04.563	0000100000101011	1385	7189	2.119	.458	4.402	259	-4	-6	175	18	1	1	95	43	0	13.8	30	198	3.387	76	0	15.36	0.000	
1.639	17:16:04.613	0000100000101011	1409	7245	2.116	.458	4.449	259	-9	-10	175	18	1	1	95	43	0	13.8	30	200	3.145	76	0	14.78	0.000	
